Trismegistos;CIE;Rix. ET1;Meiser. ET2;TLE;Bakkum;CIL I;CIL I(2);CIL III;CIL VI;CIL XI;CII;CII Suppl.;CII App.;Multiple references?;Notes;Credits;Edit log
TM 174346;;;ET2 Vs 3.0010;;;;;;;;;;;;;;
TM 174347;;;ET2 Vs 3.0011;;;;;;;;;;;;;;
TM 174348;;;ET2 Vs 3.0012;;;;;;;;;;;;;;
TM 174349;;;ET2 Vs 3.0013;;;;;;;;;;;;;;
TM 174350;;;ET2 Vs 3.0014;;;;;;;;;;;;;;
TM 174351;;;ET2 Vs 4.0139;;;;;;;;;;;;;;
TM 174352;;;ET2 Vs 4.0140;;;;;;;;;;;;;;
TM 174353;;;ET2 Vs 4.0141;;;;;;;;;;;;;;
TM 174354;;;ET2 Vs 4.0142;;;;;;;;;;;;;;
TM 174355;;;ET2 Vs 6.0032;;;;;;;;;;;;;;
TM 174356;;;ET2 Vs 7.0043;;;;;;;;;;;;;;
TM 174364;;;ET2 Vs 0.0051;;;;;;;;;;;;;;
TM 174365;;;ET2 Vs 0.0052;;;;;;;;;;;;;;
TM 174366;;;ET2 Vc 1.0113;;;;;;;;;;;;;;
TM 174367;;;ET2 Vc 1.0114;;;;;;;;;;;;;;
TM 174368;;;ET2 Vc 1.0104;;;;;;;;;;;;;;
TM 174369;;;ET2 Vc 1.0105;;;;;;;;;;;;;;
TM 174370;;;ET2 Vc 1.0106;;;;;;;;;;;;;;
TM 174371;;;ET2 Vc 1.0107;;;;;;;;;;;;;;
TM 174372;;;ET2 Vc 1.0108;;;;;;;;;;;;;;
TM 174373;;;ET2 Vc 1.0109;;;;;;;;;;;;;;
TM 174374;;;ET2 Vc 1.0110;;;;;;;;;;;;;;
TM 174375;;;ET2 Vc 1.0111;;;;;;;;;;;;;;
TM 174376;;;ET2 Vc 1.0115;;;;;;;;;;;;;;
TM 174377;;;ET2 Vc 1.0112;;;;;;;;;;;;;;
TM 174378;;;ET2 Vc 1.0116;;;;;;;;;;;;;;
TM 174379;;;ET2 Vc 1.0117;;;;;;;;;;;;;;
TM 174380;;;ET2 Vc 1.0120;;;;;;;;;;;;;;
TM 174395;;;ET2 Vc 2.0078;;;;;;;;;;;;;;
TM 174405;;;ET2 Vc 6.0015;;;;;;;;;;;;;;
TM 174406;;;ET2 Vc 6.0017;;;;;;;;;;;;;;
TM 174407;;;ET2 Vc 6.0018;;;;;;;;;;;;;;
TM 174410;;;ET2 Vc 7.0040;;;;;;;;;;;;;;
TM 174411;;;ET2 Vc 7.0041;;;;;;;;;;;;;;
TM 174412;;;ET2 Vc 7.0042;;;;;;;;;;;;;;
TM 174414;;;ET2 Vc 0.0058;;;;;;;;;;;;;;
TM 174416;;;ET2 Vc 0.0060;;;;;;;;;;;;;;
TM 174429;;;ET2 AV 1.0028;;;;;;;;;;;;;;
TM 174430;;;ET2 AV 1.0029;;;;;;;;;;;;;;
TM 174431;;;ET2 AV 1.0024;;;;;;;;;;;;;;
TM 174432;;;ET2 AV 1.0025;;;;;;;;;;;;;;
TM 174433;;;ET2 AV 1.0026;;;;;;;;;;;;;;
TM 174434;;;ET2 AV 1.0027;;;;;;;;;;;;;;
TM 174435;;;ET2 AV 1.0030;;;;;;;;;;;;;;
TM 174436;;;ET2 AV 1.0031;;;;;;;;;;;;;;
TM 174437;;;ET2 AV 1.0032;;;;;;;;;;;;;;
TM 174442;;;ET2 AV 2.0032;;;;;;;;;;;;;;
TM 174443;;;ET2 AV 2.0033;;;;;;;;;;;;;;
TM 174444;;;ET2 AV 2.0034;;;;;;;;;;;;;;
TM 174445;;;ET2 AV 2.0035;;;;;;;;;;;;;;
TM 174446;;;ET2 AV 5.0001;;;;;;;;;;;;;;
TM 174448;;;ET2 AV 6.0011;;;;;;;;;;;;;;
TM 174454;;;ET2 AV 0.0036;;;;;;;;;;;;;;
TM 174455;;;ET2 AV 0.0037;;;;;;;;;;;;;;
TM 174458;;;ET2 AV 0.0040;;;;;;;;;;;;;;
TM 174466;;;ET2 AV 0.0048;;;;;;;;;;;;;;
TM 174546;;;ET2 Vn 3.0002;;;;;;;;;;;;;;
TM 174551;;;ET2 Vn 0.0007;;;;;;;;;;;;;;
TM 174552;;;ET2 Vn 0.0008;;;;;;;;;;;;;;
TM 174553;;;ET2 Po 1.0005;;;;;;;;;;;;;;
TM 174554;;ET1 Po 2.0002;ET2 Po 2.0002;;;;;;;;;;;;;;
TM 174555;;;ET2 Po 2.0042;;;;;;;;;;;;;;
TM 174556;;;ET2 Po 2.0043;;;;;;;;;;;;;;
TM 174557;;;ET2 Po 2.0045;;;;;;;;;;;;;;
TM 174558;;;ET2 Po 2.0046;;;;;;;;;;;;;;
TM 174559;;;ET2 Po 2.0047;;;;;;;;;;;;;;
TM 174560;;;ET2 Po 2.0048;;;;;;;;;;;;;;
TM 174561;;;ET2 Po 2.0049;;;;;;;;;;;;;;
TM 174562;;;ET2 Po 2.0050;;;;;;;;;;;;;;
TM 174563;;;ET2 Po 2.0052;;;;;;;;;;;;;;
TM 174564;;;ET2 Po 2.0053;;;;;;;;;;;;;;
TM 174566;;;ET2 Po 0.0026;;;;;;;;;;;;;;
TM 174567;;;ET2 Po 0.0027;;;;;;;;;;;;;;
TM 174568;;;ET2 Po 0.0028;;;;;;;;;;;;;;
TM 174569;;;ET2 Po 0.0029;;;;;;;;;;;;;;
TM 174570;;;ET2 Po 0.0030;;;;;;;;;;;;;;
TM 174571;;;ET2 Po 0.0031;;;;;;;;;;;;;;
TM 174572;;;ET2 Po 0.0032;;;;;;;;;;;;;;
TM 174573;;;ET2 Po 0.0033;;;;;;;;;;;;;;
TM 174574;;;ET2 Vt 1.0186;;;;;;;;;;;;;;
TM 174575;;;ET2 Vt 1.0187;;;;;;;;;;;;;;
TM 174576;;;ET2 Vt 1.0188;;;;;;;;;;;;;;
TM 174577;;;ET2 Vt 1.0184;;;;;;;;;;;;;;
TM 174578;;;ET2 Vt 1.0185;;;;;;;;;;;;;;
TM 174579;;;ET2 Vt 1.0175;;;;;;;;;;;;;;
TM 174580;;;ET2 Vt 1.0176;;;;;;;;;;;;;;
TM 174581;;;ET2 Vt 1.0177;;;;;;;;;;;;;;
TM 174582;;;ET2 Vt 1.0181;;;;;;;;;;;;;;
TM 174583;;;ET2 Vt 1.0182;;;;;;;;;;;;;;
TM 174584;;;ET2 Vt 1.0183;;;;;;;;;;;;;;
TM 174585;;;ET2 Vt 2.0025;;;;;;;;;;;;;;
TM 174586;;;ET2 Vt 2.0026;;;;;;;;;;;;;;
TM 174587;;;ET2 Vt 2.0027;;;;;;;;;;;;;;
TM 174588;;;ET2 Vt 2.0028;;;;;;;;;;;;;;
TM 174589;;;ET2 Vt 2.0029;;;;;;;;;;;;;;
TM 174590;;;ET2 Vt 2.0030;;;;;;;;;;;;;;
TM 174591;;;ET2 Vt 2.0031;;;;;;;;;;;;;;
TM 174592;;;ET2 Vt 2.0032;;;;;;;;;;;;;;
TM 174593;;;ET2 Vt 2.0033;;;;;;;;;;;;;;
TM 174594;;;ET2 Vt 2.0034;;;;;;;;;;;;;;
TM 174595;;;ET2 Vt 2.0035;;;;;;;;;;;;;;
TM 174596;;;ET2 Vt 3.0005;;;;;;;;;;;;;;
TM 174597;;;ET2 Vt 3.0006;;;;;;;;;;;;;;
TM 174598;;;ET2 Vt 3.0007;;;;;;;;;;;;;;
TM 174599;;;ET2 Vt 3.0008;;;;;;;;;;;;;;
TM 174600;;;ET2 Vt 3.0009;;;;;;;;;;;;;;
TM 174601;;;ET2 Vt 3.0010;;;;;;;;;;;;;;
TM 174602;;;ET2 Vt 3.0011;;;;;;;;;;;;;;
TM 174603;;;ET2 Vt 3.0012;;;;;;;;;;;;;;
TM 174604;;;ET2 Vt 3.0013;;;;;;;;;;;;;;
TM 174605;;;ET2 Vt 3.0014;;;;;;;;;;;;;;
TM 174606;;;ET2 Vt 3.0015;;;;;;;;;;;;;;
TM 174607;;;ET2 Vt 3.0016;;;;;;;;;;;;;;
TM 174608;;;ET2 Vt 3.0017;;;;;;;;;;;;;;
TM 174609;;;ET2 Vt 3.0018;;;;;;;;;;;;;;
TM 174610;;;ET2 Vt 3.0019;;;;;;;;;;;;;;
TM 174611;;;ET2 Vt 3.0020;;;;;;;;;;;;;;
TM 174612;;;ET2 Vt 4.0007;;;;;;;;;;;;;;
TM 174613;;;ET2 Vt 4.0008;;;;;;;;;;;;;;
TM 174614;;;ET2 Vt 4.0009;;;;;;;;;;;;;;
TM 174615;;;ET2 Vt 6.0005;;;;;;;;;;;;;;
TM 174616;;;ET2 Vt 9.0002;;;;;;;;;;;;;;
TM 174617;;;ET2 Vt 0.0016;;;;;;;;;;;;;;
TM 174618;;;ET2 Vt 0.0017;;;;;;;;;;;;;;
TM 174619;;;ET2 Vt 0.0018;;;;;;;;;;;;;;
TM 174620;;;ET2 Vt 0.0019;;;;;;;;;;;;;;
TM 174621;;;ET2 Vt 0.0020;;;;;;;;;;;;;;
TM 174622;;;ET2 Vt 0.0021;;;;;;;;;;;;;;
TM 174623;;;ET2 Vt 0.0022;;;;;;;;;;;;;;
TM 174624;;;ET2 Vt 0.0023;;;;;;;;;;;;;;
TM 174625;;;ET2 Vt 0.0024;;;;;;;;;;;;;;
TM 174626;;;ET2 Vt 0.0025;;;;;;;;;;;;;;
TM 174627;;;ET2 Vt 0.0026;;;;;;;;;;;;;;
TM 174628;;;ET2 Vt 0.0027;;;;;;;;;;;;;;
TM 174629;;;ET2 Vt 0.0028;;;;;;;;;;;;;;
TM 174630;;;ET2 Vt 0.0029;;;;;;;;;;;;;;
TM 174631;;;ET2 Vt 0.0030;;;;;;;;;;;;;;
TM 174632;;;ET2 Vt 0.0031;;;;;;;;;;;;;;
TM 174633;;;ET2 Vt 0.0032;;;;;;;;;;;;;;
TM 174634;;;ET2 Vt 0.0033;;;;;;;;;;;;;;
TM 174635;;;ET2 Vt 0.0034;;;;;;;;;;;;;;
TM 174636;;;ET2 Vt 0.0035;;;;;;;;;;;;;;
TM 174637;;;ET2 AS 1.0509;;;;;;;;;;;;;;
TM 174638;;;ET2 AS 1.0510;;;;;;;;;;;;;;
TM 174639;;;ET2 AS 1.0517;;;;;;;;;;;;;;
TM 174643;;;ET2 AS 1.0518;;;;;;;;;;;;;;
TM 174644;;;ET2 AS 1.0519;;;;;;;;;;;;;;
TM 174645;;;ET2 AS 2.0014;;;;;;;;;;;;;;
TM 174646;;;ET2 AS 2.0015;;;;;;;;;;;;;;
TM 174647;;;ET2 AS 2.0016;;;;;;;;;;;;;;
TM 174648;;;ET2 AS 2.0017;;;;;;;;;;;;;;
TM 174649;;;ET2 AS 2.0018;;;;;;;;;;;;;;
TM 174650;;;ET2 AS 2.0019;;;;;;;;;;;;;;
TM 174651;;;ET2 AS 2.0020;;;;;;;;;;;;;;
TM 174652;;;ET2 AS 3.0006;;;;;;;;;;;;;;
TM 174653;;;ET2 AS 3.0007;;;;;;;;;;;;;;
TM 174654;;;ET2 AS 6.0002;;;;;;;;;;;;;;
TM 174655;;;ET2 AS 6.0003;;;;;;;;;;;;;;
TM 174656;;;ET2 AS 8.0001;;;;;;;;;;;;;;
TM 174657;;;ET2 AS 8.0002;;;;;;;;;;;;;;
TM 174658;;;ET2 AS 0.0007;;;;;;;;;;;;;;
TM 174659;;;ET2 AS 0.0008;;;;;;;;;;;;;;
TM 174660;;;ET2 AS 0.0009;;;;;;;;;;;;;;
TM 174661;;;ET2 Cl 1.2734;;;;;;;;;;;;;;
TM 174662;;;ET2 Cl 1.2735;;;;;;;;;;;;;;
TM 174663;;;ET2 Cl 1.2736;;;;;;;;;;;;;;
TM 174664;;;ET2 Cl 1.2737;;;;;;;;;;;;;;
TM 174665;;;ET2 Cl 1.2738;;;;;;;;;;;;;;
TM 174666;;;ET2 Cl 1.2739;;;;;;;;;;;;;;
TM 174667;;;ET2 Cl 1.2855;;;;;;;;;;;;;;
TM 174669;;;ET2 Cl 1.2741;;;;;;;;;;;;;;
TM 174670;;;ET2 Cl 1.2743;;;;;;;;;;;;;;
TM 174671;;;ET2 Cl 1.2744;;;;;;;;;;;;;;
TM 174672;;;ET2 Cl 1.2745;;;;;;;;;;;;;;
TM 174673;;;ET2 Cl 1.2746;;;;;;;;;;;;;;
TM 174674;;;ET2 Cl 1.2856;;;;;;;;;;;;;;
TM 174675;;;ET2 Cl 1.2857;;;;;;;;;;;;;;
TM 174676;;;ET2 Cl 1.2858;;;;;;;;;;;;;;
TM 174677;;;ET2 Cl 1.2859;;;;;;;;;;;;;;
TM 174678;;;ET2 Cl 1.2860;;;;;;;;;;;;;;
TM 174679;;;ET2 Cl 1.2861;;;;;;;;;;;;;;
TM 174680;;;ET2 Cl 1.2862;;;;;;;;;;;;;;
TM 174681;;;ET2 Cl 1.2863;;;;;;;;;;;;;;
TM 174682;;;ET2 Cl 1.2864;;;;;;;;;;;;;;
TM 174683;;;ET2 Cl 1.2865;;;;;;;;;;;;;;
TM 174684;;;ET2 Cl 1.2866;;;;;;;;;;;;;;
TM 174685;;;ET2 Cl 1.2747;;;;;;;;;;;;;;
TM 174686;;;ET2 Cl 1.2748;;;;;;;;;;;;;;
TM 174687;;;ET2 Cl 1.2749;;;;;;;;;;;;;;
TM 174688;;;ET2 Cl 1.2750;;;;;;;;;;;;;;
TM 174689;;;ET2 Cl 1.2751;;;;;;;;;;;;;;
TM 174690;;;ET2 Cl 1.2752;;;;;;;;;;;;;;
TM 174691;;;ET2 Cl 1.2753;;;;;;;;;;;;;;
TM 174692;;;ET2 Cl 1.2754;;;;;;;;;;;;;;
TM 174693;;;ET2 Cl 1.2835;;;;;;;;;;;;;;
TM 174694;;;ET2 Cl 1.2755;;;;;;;;;;;;;;
TM 174695;;;ET2 Cl 1.2756;;;;;;;;;;;;;;
TM 174696;;;ET2 Cl 1.2757;;;;;;;;;;;;;;
TM 174697;;;ET2 Cl 1.2758;;;;;;;;;;;;;;
TM 174698;;;ET2 Cl 1.2759;;;;;;;;;;;;;;
TM 174699;;;ET2 Cl 1.2760;;;;;;;;;;;;;;
TM 174700;;;ET2 Cl 1.2761;;;;;;;;;;;;;;
TM 174701;;;ET2 Cl 1.2836;;;;;;;;;;;;;;
TM 174702;;;ET2 Cl 1.2762;;;;;;;;;;;;;;
TM 174703;;;ET2 Cl 1.2763;;;;;;;;;;;;;;
TM 174704;;;ET2 Cl 1.2764;;;;;;;;;;;;;;
TM 174705;;;ET2 Cl 1.2837;;;;;;;;;;;;;;
TM 174706;;;ET2 Cl 1.2765;;;;;;;;;;;;;;
TM 174707;;;ET2 Cl 1.2766;;;;;;;;;;;;;;
TM 174708;;;ET2 Cl 1.2767;;;;;;;;;;;;;;
TM 174709;;;ET2 Cl 1.2768;;;;;;;;;;;;;;
TM 174710;;;ET2 Cl 1.2769;;;;;;;;;;;;;;
TM 174711;;;ET2 Cl 1.2770;;;;;;;;;;;;;;
TM 174712;;;ET2 Cl 1.2838;;;;;;;;;;;;;;
TM 174713;;;ET2 Cl 1.2839;;;;;;;;;;;;;;
TM 174714;;;ET2 Cl 1.2771;;;;;;;;;;;;;;
TM 174715;;;ET2 Cl 1.2876;;;;;;;;;;;;;;
TM 174716;;;ET2 Cl 1.2772;;;;;;;;;;;;;;
TM 174717;;;ET2 Cl 1.2773;;;;;;;;;;;;;;
TM 174718;;;ET2 Cl 1.2774;;;;;;;;;;;;;;
TM 174719;;;ET2 Cl 1.2775;;;;;;;;;;;;;;
TM 174720;;;ET2 Cl 1.2867;;;;;;;;;;;;;;
TM 174721;;;ET2 Cl 1.2776;;;;;;;;;;;;;;
TM 174722;;;ET2 Cl 1.2777;;;;;;;;;;;;;;
TM 174723;;;ET2 Cl 1.2778;;;;;;;;;;;;;;
TM 174724;;;ET2 Cl 1.2840;;;;;;;;;;;;;;
TM 174726;;;ET2 Cl 1.2780;;;;;;;;;;;;;;
TM 174727;;;ET2 Cl 1.2781;;;;;;;;;;;;;;
TM 174728;;;ET2 Cl 1.2870;;;;;;;;;;;;;;
TM 174729;;;ET2 Cl 1.2854;;;;;;;;;;;;;;
TM 174730;;;ET2 Cl 1.2871;;;;;;;;;;;;;;
TM 174731;;;ET2 Cl 1.2782;;;;;;;;;;;;;;
TM 174732;;;ET2 Cl 1.2783;;;;;;;;;;;;;;
TM 174733;;;ET2 Cl 1.2784;;;;;;;;;;;;;;
TM 174734;;;ET2 Cl 1.2785;;;;;;;;;;;;;;
TM 174735;;;ET2 Cl 1.2841;;;;;;;;;;;;;;
TM 174736;;;ET2 Cl 1.2842;;;;;;;;;;;;;;
TM 174737;;;ET2 Cl 1.2786;;;;;;;;;;;;;;
TM 174738;;;ET2 Cl 1.2787;;;;;;;;;;;;;;
TM 174739;;;ET2 Cl 1.2788;;;;;;;;;;;;;;
TM 174740;;;ET2 Cl 1.2789;;;;;;;;;;;;;;
TM 174741;;;ET2 Cl 1.2790;;;;;;;;;;;;;;
TM 174742;;;ET2 Cl 1.2791;;;;;;;;;;;;;;
TM 174743;;;ET2 Cl 1.2792;;;;;;;;;;;;;;
TM 174744;;;ET2 Cl 1.2793;;;;;;;;;;;;;;
TM 174745;;;ET2 Cl 1.2794;;;;;;;;;;;;;;
TM 174746;;;ET2 Cl 1.2795;;;;;;;;;;;;;;
TM 174747;;;ET2 Cl 1.2796;;;;;;;;;;;;;;
TM 174748;;;ET2 Cl 1.2797;;;;;;;;;;;;;;
TM 174749;;;ET2 Cl 1.2798;;;;;;;;;;;;;;
TM 174750;;;ET2 Cl 1.2879;;;;;;;;;;;;;;
TM 174751;;;ET2 Cl 1.2799;;;;;;;;;;;;;;
TM 174752;;;ET2 Cl 1.2800;;;;;;;;;;;;;;
TM 174753;;;ET2 Cl 1.2801;;;;;;;;;;;;;;
TM 174754;;;ET2 Cl 1.2802;;;;;;;;;;;;;;
TM 174755;;;ET2 Cl 1.2803;;;;;;;;;;;;;;
TM 174756;;;ET2 Cl 1.2804;;;;;;;;;;;;;;
TM 174757;;;ET2 Cl 1.2806;;;;;;;;;;;;;;
TM 174758;;;ET2 Cl 1.2807;;;;;;;;;;;;;;
TM 174759;;;ET2 Cl 1.2808;;;;;;;;;;;;;;
TM 174760;;;ET2 Cl 1.2868;;;;;;;;;;;;;;
TM 174761;;;ET2 Cl 1.2869;;;;;;;;;;;;;;
TM 174762;;;ET2 Cl 1.2843;;;;;;;;;;;;;;
TM 174763;;;ET2 Cl 1.2809;;;;;;;;;;;;;;
TM 174764;;;ET2 Cl 1.2810;;;;;;;;;;;;;;
TM 174765;;;ET2 Cl 1.2811;;;;;;;;;;;;;;
TM 174766;;;ET2 Cl 1.2812;;;;;;;;;;;;;;
TM 174767;;;ET2 Cl 1.2813;;;;;;;;;;;;;;
TM 174768;;;ET2 Cl 1.2814;;;;;;;;;;;;;;
TM 174769;;;ET2 Cl 1.2844;;;;;;;;;;;;;;
TM 174770;;;ET2 Cl 1.2815;;;;;;;;;;;;;;
TM 174771;;;ET2 Cl 1.2816;;;;;;;;;;;;;;
TM 174772;;;ET2 Cl 1.2817;;;;;;;;;;;;;;
TM 174773;;;ET2 Cl 1.2818;;;;;;;;;;;;;;
TM 174774;;;ET2 Cl 1.2845;;;;;;;;;;;;;;
TM 174775;;;ET2 Cl 1.2819;;;;;;;;;;;;;;
TM 174776;;;ET2 Cl 1.2875;;;;;;;;;;;;;;
TM 174777;;;ET2 Cl 1.2820;;;;;;;;;;;;;;
TM 174778;;;ET2 Cl 1.2821;;;;;;;;;;;;;;
TM 174779;;;ET2 Cl 1.2822;;;;;;;;;;;;;;
TM 174780;;;ET2 Cl 1.2846;;;;;;;;;;;;;;
TM 174781;;;ET2 Cl 1.2825;;;;;;;;;;;;;;
TM 174782;;;ET2 Cl 1.2826;;;;;;;;;;;;;;
TM 174783;;;ET2 Cl 1.2847;;;;;;;;;;;;;;
TM 174784;;;ET2 Cl 1.2878;;;;;;;;;;;;;;
TM 174785;;;ET2 Cl 1.2848;;;;;;;;;;;;;;
TM 174786;;;ET2 Cl 1.2828;;;;;;;;;;;;;;
TM 174787;;;ET2 Cl 1.2849;;;;;;;;;;;;;;
TM 174788;;;ET2 Cl 1.2829;;;;;;;;;;;;;;
TM 174789;;;ET2 Cl 1.2830;;;;;;;;;;;;;;
TM 174790;;;ET2 Cl 1.2831;;;;;;;;;;;;;;
TM 174791;;;ET2 Cl 1.2832;;;;;;;;;;;;;;
TM 174792;;;ET2 Cl 1.2877;;;;;;;;;;;;;;
TM 174793;;;ET2 Cl 1.2872;;;;;;;;;;;;;;
TM 174794;;;ET2 Cl 1.2833;;;;;;;;;;;;;;
TM 174795;;;ET2 Cl 1.2850;;;;;;;;;;;;;;
TM 174796;;;ET2 Cl 1.2851;;;;;;;;;;;;;;
TM 174797;;;ET2 Cl 1.2834;;;;;;;;;;;;;;
TM 174798;;;ET2 Cl 1.2873;;;;;;;;;;;;;;
TM 174799;;;ET2 Cl 1.2874;;;;;;;;;;;;;;
TM 174800;;;ET2 Cl 1.2852;;;;;;;;;;;;;;
TM 174801;;;ET2 Cl 1.2733;;;;;;;;;;;;;;
TM 174802;;;ET2 Cl 1.2853;;;;;;;;;;;;;;
TM 174803;;;ET2 Cl 2.0040;;;;;;;;;;;;;;
TM 174804;;;ET2 Cl 2.0041;;;;;;;;;;;;;;
TM 174805;;;ET2 Cl 2.0042;;;;;;;;;;;;;;
TM 174806;;;ET2 Cl 2.0043;;;;;;;;;;;;;;
TM 174807;;;ET2 Cl 2.0044;;;;;;;;;;;;;;
TM 174808;;;ET2 Cl 2.0045;;;;;;;;;;;;;;
TM 174809;;;ET2 Cl 2.0046;;;;;;;;;;;;;;
TM 174810;;;ET2 Cl 2.0047;;;;;;;;;;;;;;
TM 174811;;;ET2 Cl 2.0048;;;;;;;;;;;;;;
TM 174812;;;ET2 Cl 2.0049;;;;;;;;;;;;;;
TM 174813;;;ET2 Cl 3.0008;;;;;;;;;;;;;;
TM 174814;;;ET2 Cl 3.0009;;;;;;;;;;;;;;
TM 174815;;;ET2 Cl 4.0005;TLE 0478;;;;;;;;;;;;;
TM 174816;;;ET2 Cl 4.0006;;;;;;;;;;;;;;
TM 174817;;;ET2 Cl 6.0013;;;;;;;;;;;;;;
TM 174818;;;ET2 Cl 6.0014;;;;;;;;;;;;;;
TM 174819;;;ET2 Cl 7.0005;;;;;;;;;;;;;;
TM 174820;;;ET2 Cl 7.0006;;;;;;;;;;;;;;
TM 174821;;;ET2 Cl 9.0003;;;;;;;;;;;;;;
TM 174822;;;ET2 Cl 9.0004;;;;;;;;;;;;;;
TM 174823;;;ET2 Cl 0.0020;;;;;;;;;;;;;;
TM 174824;;;ET2 Cl 0.0021;;;;;;;;;;;;;;
TM 174825;;;ET2 Cl 0.0022;;;;;;;;;;;;;;
TM 174826;;;ET2 Cl 0.0023;;;;;;;;;;;;;;
TM 174827;;;ET2 Cl 0.0024;;;;;;;;;;;;;;
TM 174828;;;ET2 Cl 0.0025;;;;;;;;;;;;;;
TM 174829;;;ET2 Cl 0.0026;;;;;;;;;;;;;;
TM 174830;;;ET2 Pe 1.1297;;;;;;;;;;;;;;
TM 174831;;;ET2 Pe 1.1298;;;;;;;;;;;;;;
TM 174832;;;ET2 Pe 1.1299;;;;;;;;;;;;;;
TM 174833;;;ET2 Pe 1.1300;;;;;;;;;;;;;;
TM 174834;;;ET2 Pe 1.1301;;;;;;;;;;;;;;
TM 174835;;;ET2 Pe 1.1302;;;;;;;;;;;;;;
TM 174836;;;ET2 Pe 1.1303;;;;;;;;;;;;;;
TM 174837;;;ET2 Pe 1.1304;;;;;;;;;;;;;;
TM 174838;;;ET2 Pe 1.1305;;;;;;;;;;;;;;
TM 174839;;;ET2 Pe 1.1306;;;;;;;;;;;;;;
TM 174840;;;ET2 Pe 1.1307;;;;;;;;;;;;;;
TM 174841;;;ET2 Pe 1.1308;;;;;;;;;;;;;;
TM 174842;;;ET2 Pe 1.1309;;;;;;;;;;;;;;
TM 174843;;;ET2 Pe 1.1310;;;;;;;;;;;;;;
TM 174844;;;ET2 Pe 1.1311;;;;;;;;;;;;;;
TM 174845;;;ET2 Pe 1.1312;;;;;;;;;;;;;;
TM 174846;;;ET2 Pe 1.1313;;;;;;;;;;;;;;
TM 174847;;;ET2 Pe 1.1314;;;;;;;;;;;;;;
TM 174848;;;ET2 Pe 1.1315;;;;;;;;;;;;;;
TM 174849;;;ET2 Pe 1.1316;;;;;;;;;;;;;;
TM 174850;;;ET2 Pe 1.1317;;;;;;;;;;;;;;
TM 174851;;;ET2 Pe 1.1318;;;;;;;;;;;;;;
TM 174852;;;ET2 Pe 1.1319;;;;;;;;;;;;;;
TM 174853;;;ET2 Pe 1.1320;;;;;;;;;;;;;;
TM 174854;;;ET2 Pe 1.1321;;;;;;;;;;;;;;
TM 174855;;;ET2 Pe 1.1322;;;;;;;;;;;;;;
TM 174856;;;ET2 Pe 1.1323;;;;;;;;;;;;;;
TM 174857;;;ET2 Pe 1.1324;;;;;;;;;;;;;;
TM 174858;;;ET2 Pe 1.1325;;;;;;;;;;;;;;
TM 174859;;;ET2 Pe 1.1326;;;;;;;;;;;;;;
TM 174860;;;ET2 Pe 1.1327;;;;;;;;;;;;;;
TM 174861;;;ET2 Pe 1.1328;;;;;;;;;;;;;;
TM 174862;;;ET2 Pe 1.1329;;;;;;;;;;;;;;
TM 174863;;;ET2 Pe 1.1330;;;;;;;;;;;;;;
TM 174864;;;ET2 Pe 1.1331;;;;;;;;;;;;;;
TM 174865;;;ET2 Pe 1.1332;;;;;;;;;;;;;;
TM 174866;;;ET2 Pe 1.1333;;;;;;;;;;;;;;
TM 174867;;;ET2 Pe 1.1334;;;;;;;;;;;;;;
TM 174868;;;ET2 Pe 1.1335;;;;;;;;;;;;;;
TM 174869;;;ET2 Pe 1.1336;;;;;;;;;;;;;;
TM 174870;;;ET2 Pe 1.1337;;;;;;;;;;;;;;
TM 174871;;;ET2 Pe 1.1338;;;;;;;;;;;;;;
TM 174872;;;ET2 Pe 1.1339;;;;;;;;;;;;;;
TM 174873;;;ET2 Pe 1.1340;;;;;;;;;;;;;;
TM 174874;;;ET2 Pe 1.1341;;;;;;;;;;;;;;
TM 174875;;;ET2 Pe 1.1343;;;;;;;;;;;;;;
TM 174876;;;ET2 Pe 1.1344;;;;;;;;;;;;;;
TM 174877;;;ET2 Pe 1.1346;;;;;;;;;;;;;;
TM 174878;;;ET2 Pe 1.1347;;;;;;;;;;;;;;
TM 174879;;;ET2 Pe 1.1348;;;;;;;;;;;;;;
TM 174880;;;ET2 Pe 1.1349;;;;;;;;;;;;;;
TM 174881;;;ET2 Pe 1.1350;;;;;;;;;;;;;;
TM 174882;;;ET2 Pe 1.1351;;;;;;;;;;;;;;
TM 174883;;;ET2 Pe 1.1352;;;;;;;;;;;;;;
TM 174884;;;ET2 Pe 1.1353;;;;;;;;;;;;;;
TM 174885;;;ET2 Pe 1.1354;;;;;;;;;;;;;;
TM 174886;;;ET2 Pe 1.1355;;;;;;;;;;;;;;
TM 174887;;;ET2 Pe 1.1342;;;;;;;;;;;;;;
TM 174888;;;ET2 Pe 1.1356;;;;;;;;;;;;;;
TM 174889;;;ET2 Pe 1.1357;;;;;;;;;;;;;;
TM 174890;;;ET2 Pe 1.1358;;;;;;;;;;;;;;
TM 174891;;;ET2 Pe 1.1360;;;;;;;;;;;;;;
TM 174892;;;ET2 Pe 3.0004;;;;;;;;;;;;;;
TM 174893;;;ET2 Pe 3.0007;;;;;;;;;;;;;;
TM 174894;;;ET2 Co 1.0038;;;;;;;;;;;;;;
TM 174895;;;ET2 Co 1.0039;;;;;;;;;;;;;;
TM 174896;;;ET2 Co 1.0037;;;;;;;;;;;;;;
TM 174897;;;ET2 Co 8.0004;;;;;;;;;;;;;;
