entry,text,flags,shared_with_ciep,containment
2304,aθ - herme seθrnal,,1,0.89
2305,[has]ti . <s>etrnei [.] hermes a,,0,
2306,ha[stia se]θrnei her[mes]a,ocr?,0,
2307,sana . hermnei . ve<t>nisa,ocr?,0,
2308,<he>rm<ne>i .,,0,
2309,θania hilarunia,ocr?,1,0.89
2310,fania . hilarnia .,ocr?,0,
2311,lθ • hisu . purnal,ocr-fixed,1,0.86
2312,θn . p<e>rnei • hisusa,,0,
2313,au . hisucna [vipi]nal,ocr-fixed,1,0.94
2314,his - huc vulsisa,,1,1.00
2315,larθ • hupl<i>ce,ocr-fixed,0,
2316,huras,,1,
2317,huθunei fulni,,1,0.77
2318,larq - facutura,ocr?,0,
2319,larθ • <θ>actra . pruint< [---] [---],,0,
2320,< vl > . θactara . <l>e . au<l>ia<s> /vl i θactara . lθ - aulias -,ocr-fixed,1,0.85
2321,hastia . θactrei . <a>uliaθ . vl i,ocr-fixed,1,0.94
2322,sana laut niθa e in is,ocr-fixed,1,0.72
2323,seore - eans i,ocr?,0,
2324,la . fansi s . θansi,ocr?,1,0.75
2325,/<n>si . vi/ lau[tni],,0,
2326,ane . fasini latni .,ocr?,0,
2327,arno • θelazu . arθal,ocr-fixed ocr?,1,0.94
2328,arnθ • θelazu . arθa,,1,1.00
2329,aθ θelazu . carpkatial,,1,0.95
2330,larθ - θelazu . velug 1,ocr-fixed,0,
2331,larθ - θeprie . ve<t>nalisa,ocr-fixed,1,0.94
2332,θana . θeprinei . la<r>cesa .,,0,
2333,fesia - suθunal - puia,ocr?,0,
2334,larθi • θlainei . ez<na>[l],ocr-fixed,0,
2335,aule . θucerna . aule- -rna velu- -s,,0,
2336,aule θuce- -sa,,1,0.91
2337,θuθe,,0,
2338,arntiu θupites,,1,1.00
2339,lθ • turmna • s<t>atin l<al>,,0,
2340,/lautni 1 eufulsas /turce -,,1,
2341,ei<s>eras θuf<l>fi cvei - a,ocr?,1,0.80
2342,lanialisa,ocr-fixed,1,1.00
2343,vel • larce • letial .,,0,
2344,la . larc<e> . svestnal •,,0,
2345,larθ - larcna . arnθal,ocr-fixed,0,
2346,lθ -- larcna . laθl,ocr-fixed,0,
2347,ha<stia l>arcanaia,ocr?,0,
2348,af - larcna . lθ > tutnal,ocr-fixed ocr?,1,0.64
2349,af • larcna . tutnal,ocr?,0,
2350,vl 1 larcana . lθ • tu<tna>l 1,,0,
2351,ha . larcnei . tutnal isa,,1,0.69
2352,θa t tu . lus . larcnasa,,0,
2353,la larisa,,0,
2354,larθ - latiθe larθal,ocr-fixed,0,
2355,larθ - latiθe - cretlu,ocr-fixed,0,
2356,laθiti . afuna- -s<a>,,1,
2479,larθi . murin<e> 1 . <arntn>[al],ocr-fixed,0,
2480,arnθ j mu- -sclena - la- -rθal - lautn- -ete<ri>,,0,
2481,[a]rne - muscle<n>[a] larθal - lautn-<e>t<e>[ri ],ocr?,1,0.76
2482,vl • moti- -e • latn,ocr?,0,
2483,vl . mu[ti]e . <v>[l],,0,
2484,sana [.] lautnita • mutiesa .,ocr?,0,
2485,vl • mutu . vlus cainal,,1,0.83
2486,lθ • mutu • vl cnevnal,,1,1.00
2487,ve • mu • c,,1,
2488,vel mutre,,0,
2489,nicipur • naulisal • l,ocr-fixed,1,1.00
2490,arnθ • namu ltl,,0,
2491,sana • naria,,0,
2492,larθia i naria > caias <a>χual,ocr-fixed,1,0.86
2493,nevia,,1,
2494,au . nuzrni,,1,0.25
2495,au i nuzrni - caprinal -,,0,
2496,au • nuzrni caprias,,1,0.86
2497,θania • nuzrnei • pernal,,1,1.00
2498,fastia . nuinei,,0,
2499,θanχvil • nui/,ocr?,0,
2500,θa nui--- 5 --,,0,
2501,larθ • numsi . larθal - sceua,ocr-fixed,1,1.00
2502,velia - numisi . av • utanjsa,,0,
2503,ar i paci > hulu,,0,
2504,sana paisle- -ti ne /θana pa- -isleti,ocr?,1,0.52
2505,vel > pa[n]iaf<e l>[ar]<c>na<l>,ocr?,0,
2506,lθ - papa - pupainal -,,0,
2507,θan • larisal - papas,,0,
2509,aula - par<f>- -anas • la,ocr?,0,
2777,θana < seianti i vesacnisa - setmanal . sec,,0,
2778,θa . vesacnisa . setmanal . mes •,,0,
2779,θana tetine scans-,,1,1.00
2780,can i a - tatinai t s<e> ian<t>,ocr?,0,
2781,9 - helzu- -1 1 larc-,,0,
2782,<θa>na • h<e>[l]sui • la<r>c[na]<l>,,1,0.88
2783,θana • tiscusn- -ei,,0,
2784,tiscusne,,0,
2785,ve • severpe lθ • t . zi eana,,1,
2786,aθ • hanusa .cicu,ocr-fixed,0,
2787,/ sveslisa <e-ana seianti [i s i ] nu<n> ia i vel<ea>l . seχ -/,,0,
2788,velia . senti . vl • velesa,,0,
2789,sinunia - lθ - cicus . papanias,,0,
2790,θania > seianti i trepunia - tutn- -al,ocr-fixed,1,1.00
2791,seanti - trepunia i latini<sa>,ocr?,0,
2792,<l>[a]rθi 1 seinei i,,0,
2795,vl seple,,0,
2796,vel • se<pi>e,,1,
2797,laθ<a>[l] - sepies,,0,
2798,θa<ni>a 1 seprsnei i altt-a,,1,0.75
2799,af • septle • lθ vipinalisa,ocr?,1,0.91
2800,lθ • septle • vipina[l],,0,
2801,veinza serice cicu,,1,0.94
2803,vel - serturu crutlunias,,0,
2804,vel > serturu - marias,,0,
2805,arnθ - spltur > larθal,ocr-fixed,1,1.00
2806,velia > spla- -turs,,0,
2807,velia > splaturia . s,,0,
2808,larθi spu- -rinei,ocr-fixed,1,1.00
2809,arnt • s[t]eprni krutpujs,,1,1.00
2810,f . sticu . <h>/,,0,
2811,vel . supluni /larθi i ate i,,0,
2812,arnza . suplunias,,1,
2813,arnza . suplumias,,0,
2814,arnza . suplu.mias,,0,
2815,<s>usinei pumpna-,ocr?,1,1.00
2816,hastia i t- -arcsnei,,0,
2817,ae < ta-ne . vl - ancarual .,,0,
2818,la • tel i,,0,
2820,ar . tet[a] . ve- -cainal [-] <h>isun-as,,0,
2821,/teta<- a>θ /a<nal>,,1,0.64
